Phase Shift,Bond Albedo,C11,,,,,,,,,
0.82464185,0.40590843,0.40473452,,,,,,,,,
0.9762795364,0.7930996044,0.6736320471,weird,,ps,ba,c11,,ps (degen),ba (degen),c11 (degen)
0.7175825427,0.2169113079,0.3922507055,,,0.7950285958,0.1690826858,0.3606209057,,,,
0.7417907095,0.2934082759,0.2685210137,,,0.7950461681,0.1691034347,0.3606354396,,0.7864057422,0.1181738733,0.2541775363
0.7545411786,0.2522366074,0.3044264729,,,0.7950627604,0.1690983091,0.3606331223,,,,
0.8017028529,0.1494715794,0.2613725479,,,0.7950406399,0.169104778,0.3606353256,,,,
0.7863940793,0.1182322009,0.2541594429,,,0.7950618061,0.1690292272,0.3605731997,,0.7863824163,0.1182905284,0.2541413494
0.859058792,0.4059338547,0.3359296011,,,0.7950476777,0.169098911,0.3606311458,,,,
0.7768450258,0.2393656377,0.3027766307,,avgs,0.7950479413,0.1690862243,0.3606215231,,0.7863940793,0.1182322009,0.2541594429
0.7583660548,0.3072091702,0.241646919,,,,,,,,,
0.7392469784,0.2795223184,0.2873793569,,,,,,,,,
0.2294203604,0.5145764062,0.1615708896,weird,,,,,,,,
0.6915552151,0.310806598,0.2639104734,,,,,,,,,
0.7950479413,0.1690862243,0.3606215231,,,,,,,,,
0.8744256615,0.2542328478,0.1379508025,,,,,,,,,
